date,category,region,gmv,dau,frequency,order_price,conversion_rate
2024-03-15,品类A,区域1,4500,800,2.5,180,0.035
2024-03-15,品类A,区域2,3800,700,2.3,165,0.032
2024-03-15,品类A,区域3,4200,750,2.4,175,0.033
2024-03-15,品类B,区域1,3200,600,2.1,150,0.028
2024-03-15,品类B,区域2,3500,650,2.2,160,0.030
2024-03-15,品类B,区域3,3300,620,2.1,155,0.029
2024-03-15,品类C,区域1,2800,500,1.9,140,0.025
2024-03-15,品类C,区域2,3000,550,2.0,145,0.026
2024-03-15,品类C,区域3,2900,530,1.9,142,0.025
2024-03-22,品类A,区域1,4800,850,2.6,185,0.036
2024-03-22,品类A,区域2,4000,750,2.4,170,0.033
2024-03-22,品类A,区域3,4500,800,2.5,180,0.035
2024-03-22,品类B,区域1,3400,650,2.2,155,0.029
2024-03-22,品类B,区域2,3600,670,2.3,165,0.031
2024-03-22,品类B,区域3,3500,660,2.2,160,0.030
2024-03-22,品类C,区域1,2900,520,2.0,145,0.026
2024-03-22,品类C,区域2,3100,560,2.1,150,0.027
2024-03-22,品类C,区域3,3000,540,2.0,148,0.026 